Futures Contract Data Consolidation Log
Generated: 2025-06-16 22:40:50
Input folder: C:\auxDrive\SierraChart2\Data\tmp
Start date: 2024-05-31
End date: 2025-06-16
Total records: 103,088,406
Files processed: 3

File Usage Summary:
------------------------------
MESH5.CME_20250616.txt: 232 days
MESM5.CME_20250616.txt: 76 days
MESU5.CME_20250616.txt: 2 days

Total Volume: 164,182,941
Total Trades: 103,088,406

Daily breakdown:
Date		File Used		Volume		Trades
----------------------------------------------------------------------
2024-05-31	MESH5.CME_20250616.txt   	1           	1
2024-06-01	NO_DATA                  	0           	0
2024-06-02	NO_DATA                  	0           	0
2024-06-03	NO_DATA                  	0           	0
2024-06-04	NO_DATA                  	0           	0
2024-06-05	MESH5.CME_20250616.txt   	1           	1
2024-06-06	MESH5.CME_20250616.txt   	1           	1
2024-06-07	NO_DATA                  	0           	0
2024-06-08	NO_DATA                  	0           	0
2024-06-09	NO_DATA                  	0           	0
2024-06-10	NO_DATA                  	0           	0
2024-06-11	NO_DATA                  	0           	0
2024-06-12	MESH5.CME_20250616.txt   	1           	1
2024-06-13	MESH5.CME_20250616.txt   	2           	2
2024-06-14	NO_DATA                  	0           	0
2024-06-15	NO_DATA                  	0           	0
2024-06-16	NO_DATA                  	0           	0
2024-06-17	NO_DATA                  	0           	0
2024-06-18	NO_DATA                  	0           	0
2024-06-19	NO_DATA                  	0           	0
2024-06-20	MESH5.CME_20250616.txt   	1           	1
2024-06-21	MESH5.CME_20250616.txt   	1           	1
2024-06-22	NO_DATA                  	0           	0
2024-06-23	NO_DATA                  	0           	0
2024-06-24	MESH5.CME_20250616.txt   	8           	7
2024-06-25	MESH5.CME_20250616.txt   	12          	10
2024-06-26	MESH5.CME_20250616.txt   	12          	11
2024-06-27	MESH5.CME_20250616.txt   	11          	10
2024-06-28	MESH5.CME_20250616.txt   	10          	10
2024-06-29	NO_DATA                  	0           	0
2024-06-30	NO_DATA                  	0           	0
2024-07-01	MESH5.CME_20250616.txt   	7           	6
2024-07-02	MESH5.CME_20250616.txt   	5           	3
2024-07-03	MESH5.CME_20250616.txt   	13          	8
2024-07-04	MESH5.CME_20250616.txt   	10          	5
2024-07-05	MESH5.CME_20250616.txt   	28          	23
2024-07-06	NO_DATA                  	0           	0
2024-07-07	MESH5.CME_20250616.txt   	3           	1
2024-07-08	MESH5.CME_20250616.txt   	16          	13
2024-07-09	MESH5.CME_20250616.txt   	28          	12
2024-07-10	MESH5.CME_20250616.txt   	45          	34
2024-07-11	MESH5.CME_20250616.txt   	45          	23
2024-07-12	MESH5.CME_20250616.txt   	21          	18
2024-07-13	NO_DATA                  	0           	0
2024-07-14	NO_DATA                  	0           	0
2024-07-15	MESH5.CME_20250616.txt   	72          	38
2024-07-16	MESH5.CME_20250616.txt   	167         	35
2024-07-17	MESH5.CME_20250616.txt   	60          	32
2024-07-18	MESH5.CME_20250616.txt   	36          	32
2024-07-19	MESH5.CME_20250616.txt   	40          	32
2024-07-20	NO_DATA                  	0           	0
2024-07-21	MESH5.CME_20250616.txt   	2           	2
2024-07-22	MESH5.CME_20250616.txt   	49          	40
2024-07-23	MESH5.CME_20250616.txt   	18          	15
2024-07-24	MESH5.CME_20250616.txt   	87          	73
2024-07-25	MESH5.CME_20250616.txt   	94          	70
2024-07-26	MESH5.CME_20250616.txt   	67          	29
2024-07-27	NO_DATA                  	0           	0
2024-07-28	MESH5.CME_20250616.txt   	2           	1
